"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NICA","2022-03-02","770","775","760","762","-1.42","76482"
"NICA","2022-02-28","798","798","771","773","-1.28","55256"
"NICA","2022-02-27","790","800","777.7","783","-0.89","94586"
"NICA","2022-02-24","804","804","785","790","-1.74","62153"
"NICA","2022-02-23","810","810","801","804","-0.50","26347"
"NICA","2022-02-22","806","815","802","808","0.24","37501"
"NICA","2022-02-21","808","810","798","806.1","0.37","30102"
"NICA","2022-02-20","799.7","812","790","803.1","-1.58","58816"
"NICA","2022-02-17","805","816","804","816","1.12","55936"
"NICA","2022-02-16","806","815","803","807","0.25","43171"
"NICA","2022-02-15","805","810","802","805","0.00","45673"
"NICA","2022-02-14","811","814","798","805","-0.25","65371"
"NICA","2022-02-13","802","811","789","807","-1.34","180844"
"NICA","2022-02-10","830","839","814","818","-1.21","95660"
"NICA","2022-02-09","840","840","821","828","-1.08","87317"
"NICA","2022-02-08","855","872","826","837","0.00","86778"
"NICA","2022-02-07","853","858","839","843","-1.17","59770"
"NICA","2022-02-06","856","860","845","853","-0.86","72123"
"NICA","2022-02-03","870","877","860","860.4","-1.10","150826"
"NICA","2022-02-01","875","883","865","870","-0.23","58118"
"NICA","2022-01-31","890","890","870.1","872","-1.25","65157"
"NICA","2022-01-30","876.7","888","872","883","2.72","99204"
"NICA","2022-01-27","861","869.9","856","859.6","-0.05","56260"
"NICA","2022-01-26","868","873","856","860","-0.81","109049"
"NICA","2022-01-25","850","883","845.2","867","0.09","227148"
"NICA","2022-01-24","900","900","866","866.2","-4.08","419335"
"NICA","2022-01-23","935","935.3","899","903","-1.53","191997"
"NICA","2022-01-20","912","920","901.6","917","0.55","116652"
"NICA","2022-01-19","932.2","932.2","910","912","-0.22","145505"
"NICA","2022-01-18","900","927","899","914","1.78","207182"
"NICA","2022-01-17","918","918","893","898","-0.22","111345"
"NICA","2022-01-16","880.5","912","882","900","2.21","137916"
"NICA","2022-01-13","868","890","861","880.5","1.67","94487"
"NICA","2022-01-12","870","889.5","863","866","0.17","170915"
"NICA","2022-01-11","870","872","855","864.5","0.52","83864"
"NICA","2022-01-10","870","879","852","860","-0.82","160045"
"NICA","2022-01-09","854.7","871","850","867.1","3.47","162594"
"NICA","2022-01-06","782","839","782","838","5.41","178781"
"NICA","2022-01-05","819.9","819.9","792","795","-1.58","78208"
"NICA","2022-01-04","790","813.7","772","807.8","3.04","79587"
"NICA","2022-01-03","769","788.4","765","784","1.95","78276"
"NICA","2022-01-02","754.8","773","730","769","3.92","73533"
"NICA","2021-12-29","726.1","744","725","740","0.27","77201"
"NICA","2021-12-28","740","747","730","738","-0.81","43607"
"NICA","2021-12-27","770","774","744","744","-3.36","65018"
"NICA","2021-12-26","765","775","760","769.9","1.30","70760"
"NICA","2021-12-23","767","767","749","760","1.06","53583"
"NICA","2021-12-22","745","756","735","752","2.84","54868"
